Date and Time, Julian Day, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
2005-07-15 06:15:54, 2453566.46938,    5h00m21.1s, -81°17'04.4", 20.70, 99.95%, 21.574451, +104°42'57.8"
2005-07-25 06:15:53, 2453576.46937,    5h09m04.4s, -81°36'11.0", 20.31, 99.95%, 21.638313, +103°52'32.5"
2005-08-04 06:15:53, 2453586.46937,    5h16m58.8s, -81°57'37.0", 20.09, 99.95%, 21.710327, +102°33'48.7"
2005-08-14 06:15:53, 2453596.46937,    5h23m49.2s, -82°21'04.1", 19.98, 99.95%, 21.789923, +100°49'10.5"
2005-08-24 06:15:53, 2453606.46937,    5h29m18.1s, -82°46'08.3", 19.95, 99.95%, 21.876196, +98°41'51.8"
2005-09-03 06:15:53, 2453616.46937,    5h33m04.2s, -83°12'24.1", 20.00, 99.95%, 21.968155, +96°15'20.8"
2005-09-13 06:15:53, 2453626.46937,    5h34m39.9s, -83°39'19.1", 20.13, 99.95%, 22.064599, +93°33'41.5"
2005-09-23 06:15:53, 2453636.46937,    5h33m33.9s, -84°06'12.7", 20.36, 99.95%, 22.164115, +90°41'20.2"
2005-10-03 06:15:53, 2453646.46937,    5h29m09.3s, -84°32'17.6", 20.74, 99.95%, 22.265312, +87°42'34.3"
2005-10-13 06:15:53, 2453656.46937,    5h20m46.5s, -84°56'32.8", 21.37, 99.95%, 22.366628, +84°42'13.7"
2005-10-23 06:15:53, 2453666.46937,    5h07m54.8s, -85°17'45.8", 22.42, 99.95%, 22.466477, +81°45'17.1"
2005-11-02 06:15:53, 2453676.46936,    4h50m24.1s, -85°34'36.5", 24.24, 99.95%, 22.563398, +78°56'33.0"
2005-11-12 06:15:53, 2453686.46936,    4h28m48.7s, -85°45'42.0", 26.35, 99.95%, 22.655859, +76°21'18.3"
2005-11-22 06:15:52, 2453696.46936,    4h04m42.9s, -85°50'00.2", 23.47, 99.96%, 22.742526, +74°04'41.1"
2005-12-02 06:15:52, 2453706.46936,    3h40m23.9s, -85°47'06.0", 21.86, 99.96%, 22.822254, +72°11'24.9"
2005-12-12 06:15:52, 2453716.46936,    3h18m15.0s, -85°37'21.5", 20.92, 99.96%, 22.893978, +70°46'03.5"
